# hltpath                                        L1_seed                    PD                L1   hlt
#____________________________________________    _______________________    ___________       ___  ___
HLT_PAL2Mu12_v1                                  L1_SingleMu3_BptxAND       SingleMuon        1    1 
HLT_PAL2Mu15_v1                                  L1_SingleMu3_BptxAND       SingleMuon        1    1 
HLT_PAL3Mu12_v1                                  L1_SingleMu3_BptxAND       SingleMuon        1    1 
HLT_PAL3Mu15_v1                                  L1_SingleMu3_BptxAND       SingleMuon        1    1 
HLT_PAL3Mu3_v1                                   L1_SingleMu3_BptxAND       SingleMuon        1    5 
HLT_PAL3Mu5_v1                                   L1_SingleMu3_BptxAND       SingleMuon        1    3 
HLT_PAL3Mu7_v1                                   L1_SingleMu3_BptxAND       SingleMuon        1    2 
HLT_PAFullTracks_Multiplicity120_v1              L1_TowerCount40_BptxAND    HighMult          10   20
HLT_PAFullTracks_Multiplicity150_v1              L1_TowerCount50_BptxAND    HighMult          5    10
HLT_PAFullTracks_Multiplicity185_v1              L1_TowerCount62_BptxAND    HighMult          1    5
HLT_PAFullTracks_Multiplicity220_v1              L1_TowerCount62_BptxAND    HighMult          1    2
HLT_PAFullTracks_Multiplicity250_v1              L1_TowerCount62_BptxAND    HighMult          1    1
HLT_PAFullTracks_Multiplicity280_v1              L1_TowerCount90_BptxAND    HighMult          1    1
HLT_PAFullTracks_Multiplicity120_HighPt8_v1      L1_TowerCount40_BptxAND    HighMult          10   1
HLT_PAFullTracks_Multiplicity120_HighPt16_v1     L1_TowerCount40_BptxAND    HighMult          10   1
HLT_PAL1DoubleMu0_MGT1_v1                        L1_DoubleMu0_BptxAND       DoubleMuon        1    1 
HLT_PAL1DoubleMu0_v1                             L1_DoubleMu0_BptxAND       DoubleMuon        1    1
HLT_PAL1DoubleMu10_v1                            L1_DoubleMu0_BptxAND       DoubleMuon        1    1
HLT_PAL1DoubleMuOpen_OS_v1                       L1_DoubleMuOpen_BptxAND    DoubleMuon        1    1  
HLT_PAL1DoubleMuOpen_SS_v1                       L1_DoubleMuOpen_BptxAND    DoubleMuon        1    1  
HLT_PAL2DoubleMu10_v1                            L1_DoubleMu0_BptxAND       DoubleMuon        1    1
HLT_PAL2DoubleMuOpen_v1                          L1_DoubleMuOpen_BptxAND    DoubleMuon        1    1
HLT_PAL3DoubleMu10_v1                            L1_DoubleMu0_BptxAND       DoubleMuon        1    1
HLT_PAL3DoubleMuOpen_HIon_v1                     L1_DoubleMuOpen_BptxAND    DoubleMuon        1    1    
HLT_PAL3DoubleMuOpen_v1                          L1_DoubleMuOpen_BptxAND    DoubleMuon        1    1
HLT_PADmesonPPTrackingGlobal_Dpt5_v1             L1_ZeroBias                SpectraHF         5    40
HLT_PADmesonPPTrackingGlobal_Dpt8_v1             L1_ZeroBias                SpectraHF         5    30
HLT_PADmesonPPTrackingGlobal_Dpt15_v1            L1_ZeroBias                SpectraHF         5    20
HLT_PADmesonPPTrackingGlobal_Dpt30_v1            L1_ZeroBias                SpectraHF         5    10
HLT_PADmesonPPTrackingGlobal_Dpt50_v1            L1_ZeroBias                SpectraHF         5    1
